@relation 'melanoma-5clases-abcd-100-weka.filters.supervised.instance.StratifiedRemoveFolds-S1-V-N10-F1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5-weka.filters.supervised.instance.StratifiedRemoveFolds-S1-V-N10-F3'

@attribute x1 numeric
@attribute x2 numeric
@attribute x3 numeric
@attribute x10 numeric
@attribute x13 numeric
@attribute x16 numeric
@attribute x25 numeric
@attribute x29 numeric
@attribute x30 numeric
@attribute x31 numeric
@attribute x32 numeric
@attribute x33 numeric
@attribute x37 numeric
@attribute x38 numeric
@attribute x55 numeric
@attribute x61 numeric
@attribute x64 numeric
@attribute x96 numeric
@attribute TypeMelanoma {1,2,3,4,5}

@data

0.374772,1.633489,1743.938,31.080601,7.026229,0.426661,0.121957,0.010928,0.035129,3.681516,1.80209,2.18859,-0.716557,-0.088972,1.05256,1.596905,0.520447,45.695087,3
0.389145,1.603039,899.6971,45.464423,69.04613,11.081295,0.118236,0.018581,0.019355,7.57432,10.851364,5.397394,0.746188,-1.814716,0.633284,1.415457,0.553751,47.799247,3
0.549489,1.349026,669.5932,50.831265,22.401924,8.049066,0.150899,0.015724,0.02183,3.787747,6.314495,3.920608,-1.158647,-1.423515,2.058172,1.257629,0.601798,64.101038,3
0.480972,1.441917,355.8762,75.300771,0,0,0.055763,0.008519,0.015088,9.3261,44.335223,14.039063,0.741746,3.651838,0.704976,1.533359,0.536489,76.155072,3
0.697703,1.197194,1152.278,17.683453,35.970024,10.800959,0.164497,0.011832,0.043729,2.862452,4.934328,4.0022,-0.151586,-0.454151,0,1.151338,0.61413,60.553899,3
0.684829,1.208395,1467.812,29.838378,1.570954,7.033083,0.183377,0.011275,0.035944,5.225567,3.838767,6.328847,-1.605563,-1.044258,0.847725,1.479205,0.544085,72.562173,3
0.414105,1.553977,783.0864,52.248403,1.904357,0.082279,0.098119,0.007327,0.023317,8.606508,5.104442,13.68101,-0.602916,0.95573,1.077405,1.537451,0.52645,64.727471,3
0.479319,1.444401,357.8774,86.863421,95.744059,1.318617,0.05283,0.009839,0.019141,60.580479,58.727542,50.04045,3.694654,-3.645189,0,1.167169,0.60839,63.694528,3
0.685131,1.208128,640.1219,50.346473,1.592695,48.218001,0.221881,0.016085,0.031065,1.754952,2.554433,5.664853,0.697764,0.886514,0,1.063663,0.650207,96.386817,3
0.385021,1.611601,1449.539,40.949476,1.336982,0.147287,0.095958,0.011213,0.020086,5.056697,2.757809,8.96593,0.350995,0.895366,1.099423,1.85142,0.494435,84.428881,3
0.578611,1.31464,2638.557,36.823393,0.102632,0.002102,0.115099,0.012941,0.037772,2.642925,6.78879,5.857993,-0.185518,0.680292,0.760737,1.312866,0.591831,47.569029,3
0.58774,1.304389,108.6958,41.578671,50.180484,25.564293,0.120577,0.00831,0.020654,6.841494,7.557765,4.424118,0.075157,-1.967591,0.846775,1.407712,0.548247,66.140158,4
0.670146,1.221562,1469.022,18.360956,28.202093,0.211309,0.203641,0.013903,0.00795,1.309498,1.086802,1.352591,-0.084559,0.095602,0,0.755985,0.706417,111.487784,4
0.54866,1.350045,525.032,57.135727,44.842215,4.393012,0.112816,0.014365,0.025096,5.401667,22.254109,5.150484,-0.660731,-1.254491,0,1.255201,0.611094,71.212379,4
0.773401,1.137098,944.4292,39.478537,54.644685,0.285618,0.200761,0.017088,0.02415,1.810579,6.916336,4.88077,0.690254,1.599886,0,2.143356,0.481693,67.708314,4
0.879932,1.066045,7381.687,5.318989,38.133727,13.026561,0.231842,0.009544,0.025055,1.964031,4.842263,3.706688,0.280413,-0.032506,0,1.203625,0.595751,52.28688,4
0.735324,1.166167,5623.721,23.330339,0.055837,1.133743,0.113427,0.008883,0.03178,8.604535,3.712148,10.673511,-1.807307,-0.806449,0.964009,1.580184,0.51624,35.740493,2
0.710951,1.185988,732.2746,57.478815,66.505606,15.912416,0.139937,0.022642,0.01736,7.570524,10.746341,7.471658,1.890194,-0.202614,0,1.256823,0.591573,67.166021,2
0.493915,1.422898,266.2914,45.592028,5.030405,4.933299,0.187008,0.013209,0.021286,3.944936,4.937994,5.820089,-0.575609,0.284013,0.910891,1.452043,0.557903,46.142291,2
0.560445,1.335775,151.0612,64.250481,1.513755,0.397846,0.114722,0.015543,0.030408,9.37216,8.956791,26.643069,-1.009503,1.140166,0,1.832941,0.512256,67.027144,2
0.625652,1.264252,1025.325,30.962442,2.967022,0.01454,0.152952,0.016404,0.014407,2.690125,6.44394,3.858149,-0.640685,1.08296,1.347856,1.937314,0.472043,35.988558,2
0.44023,1.507164,373.1254,46.374483,62.190653,2.416109,0.137079,0.019104,0.01687,5.569465,13.443392,6.22142,1.631301,1.782699,0.772179,1.409417,0.555632,55.902982,2
0.511542,1.398168,266.6362,68.22989,66.714588,0,0.115172,0.008644,0.020493,2.190342,2.658696,3.496796,0.321655,0.515443,0,1.150483,0.594175,59.074193,1
0.372036,1.639485,1520.751,77.416138,97.065736,0.90212,0.076002,0.005569,0.007386,4.639025,4.549232,4.952543,1.013121,0.980813,0,1.75173,0.501297,77.285469,1
0.439973,1.507603,394.5055,58.381856,0.168931,0,0.087871,0.011222,0.016344,3.047693,6.520482,10.242025,-0.256945,1.476682,0,2.48419,0.429456,46.616655,1
0.612475,1.27778,176.1682,83.203133,1.475127,86.017157,0.116073,0.008969,0.019472,6.9508,9.007676,15.474382,1.998483,2.380784,0,1.297806,0.586465,62.68473,1
0.480117,1.443201,552.7969,34.287495,22.749907,5.162731,0.165047,0.020518,0.024238,3.261124,4.534832,8.321718,0.816801,0.651092,0.844466,1.127514,0.60328,34.501189,1
0.632873,1.257018,92.13424,52.844242,49.534494,43.892561,0.136055,0.00839,0.015023,5.613675,5.001782,5.002474,1.499479,1.201606,1.478349,1.996811,0.497392,35.007004,1
0.508122,1.402865,190.1301,76.447855,91.149788,0,0.053721,0.007775,0.005097,3.569476,3.320377,3.342231,0.761391,0.19526,0,0.821564,0.697048,134.460587,1
0.391376,1.598465,2333.856,61.231075,0.007203,0,0.089221,0.009966,0.014899,3.729196,2.505862,2.033647,-1.000239,-0.482283,1.226545,1.258638,0.569663,66.965399,1
0.43475,1.516631,454.3493,72.219528,0,0,0.065942,0.016219,0.01337,2.953319,2.328597,2.576966,-0.532898,-0.109752,1.095288,2.358618,0.428034,73.709568,1
0.556403,1.340618,149.1901,74.058586,77.662094,1.312112,0.16219,0.020541,0.015581,3.423856,3.878958,3.527497,1.034061,0.850572,1.133023,1.049681,0.656267,69.382164,1
0.632658,1.257232,54.01009,82.456008,77.698059,0,0.092196,0.009097,0.013081,2.0855,2.792828,3.69288,0.286892,0.796625,0,0.97557,0.671162,147.774148,1
0.483856,1.437613,731.3224,55.480641,76.066858,0.270499,0.107479,0.010483,0.017161,5.056653,8.60749,11.081451,1.416459,2.171186,0.937268,1.4461,0.544617,46.970649,1
